[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07
[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07
[264-2][320-2][461-2];4067.72,[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[83-2][264-2][320-2];2640.41
[264-2][320-2][461-2];4067.72,[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[83-2][264-2][320-2];2640.41
[264-2][320-2][461-2];4067.72,[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[83-2][264-2][320-2];2640.41
[264-2][320-2][461-2];4067.72,[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[83-2][264-2][320-2];2640.41
[264-2][320-2][461-2];4067.72,[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[83-2][264-2][320-2];2640.41
[264-2][320-2][461-2];4067.72,[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84
[149-2][264-2][320-2];5251.98,[264-2][320-2][461-2];4067.72,[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52
[149-2][264-2][320-2];5251.98,[264-2][320-2][461-2];4067.72,[264-2][296-2][320-2];3699.36,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][507-2];2888.97,[209-2][264-2][320-2];2844.79,[37-2][264-2][320-2];2820.52
